NAME,ISACTIVE,ISDEFAULT,MONDAYSTARTTIME,MONDAYENDTIME,TUESDAYSTARTTIME,TUESDAYENDTIME,WEDNESDAYSTARTTIME,WEDNESDAYENDTIME,THURSDAYSTARTTIME,THURSDAYENDTIME,FRIDAYSTARTTIME,FRIDAYENDTIME,TIMEZONESIDKEY
GMT+14:00  Line Islands Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Kiritimati 
GMT+13:45  Chatham Daylight Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Chatham 
GMT+13:00  New Zealand Daylight Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Auckland 
GMT+13:00  Phoenix Islands Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Enderbury 
GMT+13:00  Fiji Summer Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Fiji 
GMT+13:00  Tonga Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Tongatapu 
GMT+12:00  Magadan Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Asia/Kamchatka 
GMT+11:30  Norfolk Islands Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Norfolk
GMT+11:00  Lord Howe Daylight Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Australia/Lord_Howe 
GMT+11:00  Australian Eastern Daylight Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Australia/Sydney 
